node_id,jurisdiction,region,legal_owner,tax_owner,privacy_data_owner,employment_owner,sanctions_export_owner,ai_sector_owner,security_owner,funding_procurement_owner,professional_credentials_verified,engagement_scope,privilege_position,last_verified,next_review,activation_state,evidence_receipt
J001,Québec,Canada,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J002,Canada Federal,Canada,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J003,Ontario,Canada,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J004,British Columbia,Canada,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J005,Alberta,Canada,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J006,United States Federal,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J007,California,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J008,New York,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J009,Texas,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J010,Massachusetts,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J011,Washington State,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J012,Colorado,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J013,Virginia,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J014,EU/EEA,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J015,France,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J016,Germany,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J017,Ireland,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J018,Netherlands,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J019,Luxembourg,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J020,Finland,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J021,Sweden,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J022,Denmark,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J023,Norway,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J024,Estonia,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J025,Spain,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J026,Italy,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J027,Poland,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J028,United Kingdom,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J029,Switzerland,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J030,United Arab Emirates,Middle East,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J031,Saudi Arabia,Middle East,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J032,Qatar,Middle East,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J033,Bahrain,Middle East,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J034,Israel,Middle East,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J035,Singapore,Asia-Pacific,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J036,Japan,Asia-Pacific,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J037,South Korea,Asia-Pacific,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J038,India,Asia-Pacific,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J039,Australia,Asia-Pacific,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J040,New Zealand,Asia-Pacific,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J041,Hong Kong,Asia-Pacific,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J042,Mainland China,Asia-Pacific,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J043,Taiwan,Asia-Pacific,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J044,Brazil,Latin America,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J045,Mexico,Latin America,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J046,Chile,Latin America,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J047,Colombia,Latin America,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J048,Argentina,Latin America,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J049,Uruguay,Latin America,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J050,South Africa,Africa,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J051,Kenya,Africa,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J052,Rwanda,Africa,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J053,Nigeria,Africa,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J054,Mauritius,Africa,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J055,Morocco,Africa,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J056,Egypt,Africa,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J057,Turkey,Eurasia,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J058,Indonesia,Asia-Pacific,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J059,Malaysia,Asia-Pacific,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J060,Thailand,Asia-Pacific,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J061,Vietnam,Asia-Pacific,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J062,Philippines,Asia-Pacific,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J063,Portugal,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J064,Belgium,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J065,Austria,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J066,Czech Republic,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J067,US Federal Procurement,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J068,Europe - EuroHPC,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J069,Gulf Sovereign AI,Middle East,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J070,Global Cloud Credits,Global,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
